,dataset,model,fold,structural_characteristic,is_member,spearman,mae
0,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,0,is_buried,0,0.4944039051249566,0.6617327096235519
1,PTEN_HUMAN_Mighell_2018,Partial least squares,0,is_buried,0,0.492495686379451,0.7016451544025905
2,PTEN_HUMAN_Mighell_2018,Augmented Potts,0,is_buried,0,0.5142045082099894,0.6188091470558964
3,PTEN_HUMAN_Mighell_2018,RITA regressor,0,is_buried,0,0.3428792580013651,0.7446016185242761
4,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,1,is_buried,0,0.4275824769687808,0.6725653514004177
5,PTEN_HUMAN_Mighell_2018,Partial least squares,1,is_buried,0,0.4256467445242181,0.7208232095638093
6,PTEN_HUMAN_Mighell_2018,Augmented Potts,1,is_buried,0,0.44369783286700415,0.6549184014988431
7,PTEN_HUMAN_Mighell_2018,RITA regressor,1,is_buried,0,0.3058079211471225,0.7741468373854179
8,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,2,is_buried,0,0.47835157691379165,0.6759086423613602
9,PTEN_HUMAN_Mighell_2018,Partial least squares,2,is_buried,0,0.4760647364287953,0.7372767831918152
10,PTEN_HUMAN_Mighell_2018,Augmented Potts,2,is_buried,0,0.4992721012677092,0.6694397557767504
11,PTEN_HUMAN_Mighell_2018,RITA regressor,2,is_buried,0,0.37537481773682024,0.7792637333456394
12,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,3,is_buried,0,0.4230403295214812,0.676806529490261
13,PTEN_HUMAN_Mighell_2018,Partial least squares,3,is_buried,0,0.42309063030949856,0.7203796610950138
14,PTEN_HUMAN_Mighell_2018,Augmented Potts,3,is_buried,0,0.3985065202617737,0.6624715412441425
15,PTEN_HUMAN_Mighell_2018,RITA regressor,3,is_buried,0,0.3307407024410608,0.7835346321956136
16,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,4,is_buried,0,0.48952940944419815,0.653156602666813
17,PTEN_HUMAN_Mighell_2018,Partial least squares,4,is_buried,0,0.48845891235453043,0.717048216978777
18,PTEN_HUMAN_Mighell_2018,Augmented Potts,4,is_buried,0,0.48706777017913505,0.6516844572842361
19,PTEN_HUMAN_Mighell_2018,RITA regressor,4,is_buried,0,0.32863399196352056,0.7707009066190954
20,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,5,is_buried,0,0.3626722745577756,0.674984111508769
21,PTEN_HUMAN_Mighell_2018,Partial least squares,5,is_buried,0,0.3629651830558453,0.6950006307488368
22,PTEN_HUMAN_Mighell_2018,Augmented Potts,5,is_buried,0,0.3801243685710951,0.6605234559182037
23,PTEN_HUMAN_Mighell_2018,RITA regressor,5,is_buried,0,0.22016930437983068,0.7619601903535629
24,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,6,is_buried,0,0.41258483476013175,0.6567204423593269
25,PTEN_HUMAN_Mighell_2018,Partial least squares,6,is_buried,0,0.41192247782562535,0.670929660573911
26,PTEN_HUMAN_Mighell_2018,Augmented Potts,6,is_buried,0,0.42091593517218906,0.6570851359132229
27,PTEN_HUMAN_Mighell_2018,RITA regressor,6,is_buried,0,0.27597257857346313,0.7289948676189977
28,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,7,is_buried,0,0.3927214738897394,0.6587610648093565
29,PTEN_HUMAN_Mighell_2018,Partial least squares,7,is_buried,0,0.38946687756624165,0.710364530602164
30,PTEN_HUMAN_Mighell_2018,Augmented Potts,7,is_buried,0,0.4136933770955586,0.6176366746915402
31,PTEN_HUMAN_Mighell_2018,RITA regressor,7,is_buried,0,0.255493485396015,0.7800659103095616
32,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,8,is_buried,0,0.3660394835607252,0.6425140727843717
33,PTEN_HUMAN_Mighell_2018,Partial least squares,8,is_buried,0,0.36558044855330596,0.6935725896742126
34,PTEN_HUMAN_Mighell_2018,Augmented Potts,8,is_buried,0,0.43225152871368006,0.6098484675379294
35,PTEN_HUMAN_Mighell_2018,RITA regressor,8,is_buried,0,0.2615775845812128,0.7544963275328234
36,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,9,is_buried,0,0.4348668313430023,0.6452111906496804
37,PTEN_HUMAN_Mighell_2018,Partial least squares,9,is_buried,0,0.4338444627142475,0.6820901948441467
38,PTEN_HUMAN_Mighell_2018,Augmented Potts,9,is_buried,0,0.4424325674325674,0.6459409336255056
39,PTEN_HUMAN_Mighell_2018,RITA regressor,9,is_buried,0,0.33415009786961003,0.7381779997967416
40,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,0,is_buried,1,0.5615322947110083,0.9954987981590075
41,PTEN_HUMAN_Mighell_2018,Partial least squares,0,is_buried,1,0.5619885985646321,1.116880002701491
42,PTEN_HUMAN_Mighell_2018,Augmented Potts,0,is_buried,1,0.7218600338594379,0.8449039487108035
43,PTEN_HUMAN_Mighell_2018,RITA regressor,0,is_buried,1,0.4629377867603221,1.1545457587115584
44,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,1,is_buried,1,0.666796561395473,0.9667565054230953
45,PTEN_HUMAN_Mighell_2018,Partial least squares,1,is_buried,1,0.6667912667770945,1.1663140925201336
46,PTEN_HUMAN_Mighell_2018,Augmented Potts,1,is_buried,1,0.7828968102433369,0.841480550214668
47,PTEN_HUMAN_Mighell_2018,RITA regressor,1,is_buried,1,0.4356291695251651,1.2334666671530012
48,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,2,is_buried,1,0.6301190237656016,0.9703130966705102
49,PTEN_HUMAN_Mighell_2018,Partial least squares,2,is_buried,1,0.6294438743116306,1.1040813813482264
50,PTEN_HUMAN_Mighell_2018,Augmented Potts,2,is_buried,1,0.708485302629627,0.8566649925765972
51,PTEN_HUMAN_Mighell_2018,RITA regressor,2,is_buried,1,0.5547214930596985,1.1228522398308434
52,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,3,is_buried,1,0.5824767396160321,1.0342730076743367
53,PTEN_HUMAN_Mighell_2018,Partial least squares,3,is_buried,1,0.5823976904531593,1.1851563599636612
54,PTEN_HUMAN_Mighell_2018,Augmented Potts,3,is_buried,1,0.7000436006263049,0.943941908092375
55,PTEN_HUMAN_Mighell_2018,RITA regressor,3,is_buried,1,0.47567016664678047,1.2156020846414877
56,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,4,is_buried,1,0.597526321942087,1.0604179158937121
57,PTEN_HUMAN_Mighell_2018,Partial least squares,4,is_buried,1,0.5977885546324431,1.210844194063263
58,PTEN_HUMAN_Mighell_2018,Augmented Potts,4,is_buried,1,0.740277831501763,0.8643412464154481
59,PTEN_HUMAN_Mighell_2018,RITA regressor,4,is_buried,1,0.4118892894316981,1.2364881125436815
60,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,5,is_buried,1,0.5944986431329253,1.0079311322604847
61,PTEN_HUMAN_Mighell_2018,Partial least squares,5,is_buried,1,0.5938134409037312,1.1582562124019773
62,PTEN_HUMAN_Mighell_2018,Augmented Potts,5,is_buried,1,0.6966003815302422,0.8914327640518929
63,PTEN_HUMAN_Mighell_2018,RITA regressor,5,is_buried,1,0.4620357635736658,1.1905472750914958
64,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,6,is_buried,1,0.6380574986597687,1.0222842966280519
65,PTEN_HUMAN_Mighell_2018,Partial least squares,6,is_buried,1,0.6380858370389119,1.197617447907343
66,PTEN_HUMAN_Mighell_2018,Augmented Potts,6,is_buried,1,0.7225374262390963,0.9213401692198593
67,PTEN_HUMAN_Mighell_2018,RITA regressor,6,is_buried,1,0.4910029630513463,1.2058767856638344
68,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,7,is_buried,1,0.6490429358896189,1.0125354480881907
69,PTEN_HUMAN_Mighell_2018,Partial least squares,7,is_buried,1,0.6490180530108631,1.1959937765256894
70,PTEN_HUMAN_Mighell_2018,Augmented Potts,7,is_buried,1,0.7693960143469204,0.8186145324089121
71,PTEN_HUMAN_Mighell_2018,RITA regressor,7,is_buried,1,0.520698056576485,1.1855150143631838
72,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,8,is_buried,1,0.6124112861119076,1.0591649960040297
73,PTEN_HUMAN_Mighell_2018,Partial least squares,8,is_buried,1,0.6125103010443164,1.216230264467835
74,PTEN_HUMAN_Mighell_2018,Augmented Potts,8,is_buried,1,0.7371853430476432,0.8613093806875
75,PTEN_HUMAN_Mighell_2018,RITA regressor,8,is_buried,1,0.46332344073741316,1.2573654993543177
76,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,9,is_buried,1,0.6235726096012711,1.0247537699804146
77,PTEN_HUMAN_Mighell_2018,Partial least squares,9,is_buried,1,0.6235686322849001,1.2090225372770036
78,PTEN_HUMAN_Mighell_2018,Augmented Potts,9,is_buried,1,0.704776940193495,0.9034442538768636
79,PTEN_HUMAN_Mighell_2018,RITA regressor,9,is_buried,1,0.4033359185459174,1.293854331211726
80,PTEN_HUMAN_Mighell_2018,Residue agnostic regressor,0,is_connected,0,0.6017073357905434,0.7141591302855316
81,PTEN_HUMAN_Mighell_2018,Partial least squares,0,is_connected,0,0.601025941417425,0.8234540390502552
82,PTEN_HUMAN_Mighell_2018,Augmented Potts,0,is_connected,0,0.623582775486105,0.7015066054465893
